Transaction ID,Nuts,Shellfish,Canned Fruit,Spices,Pasta,Yogurt,Coffee,Deli Meats,Ice Cream,TV Dinner,Cheese,Chips,Sour Cream,Cottage Cheese,Deli Salads,Dried Meat,Paper Wipes,Soda,Deodorizers,Cleaners,Shower Soap,Fresh Fish,Bagels,Muffins,Sliced Bread,Pancake Mix,Pancakes,Juice,Jelly,Jam,Preserves,Waffles,Cereal,Chocolate Candy,Gum,Hard Candy,Personal Hygiene,Pots and Pans,Tools,Sponges,Beer,Wine,Cookies,Pretzels,Candles,Sauces,Cooking Oil,Sugar,Chocolate,Flavored Drinks,Peanut Butter,Popcorn,Paper Dishes,Plastic Utensils,Rice,Soup,Dehydrated Soup,Frozen Vegetables,Fresh Vegetables,Canned Vegetables,French Fries,Pizza,Hamburger,Eggs,Tofu,Dish Soap,Dishwasher Soap,Aspirin,Ibuprofen,Acetominifen,Nasal Sprays,Mouthwash,Cold Remedies,Milk,Fresh Chicken,Conditioner,Shampoo,Lightbulbs,Hot Dogs,Crackers,Dips,Donuts,Toilet Brushes,Pot Scrubbers,Pot Cleaners,Toothbrushes,Sunglasses,Bologna,Non-Alcoholic Wine,Tuna,Shrimp,Anchovies,Clams,Oysters,Sardines,Fresh Fruit,Frozen Chicken,Batteries,Maps,Screwdrivers,Sports Magazines,Home Magazines,Fashion Magazines,Computer Magazines,Auto Magazines,Dried Fruit,Popsicles
19,0,0,2,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,2,0,1,1,0,0,0,1,3,0,0,2,0,0,0,0,0,0,1,1,2,1,2,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,2,0,1,2,1,0,0,2,1,0,1,2,0,0,1,1,0,0,2,0,1,1,0,0,0,0,0,2,1,1,0,0,0,3,0,1,1,0,0,0,0,0,0,1,1,0
20,0,1,0,0,2,1,0,2,1,0,2,0,0,0,2,1,2,1,1,0,0,1,0,1,1,1,0,0,0,0,2,1,0,0,1,0,2,1,0,1,1,1,0,0,0,0,0,2,0,0,2,0,1,1,1,1,0,0,1,0,0,0,0,0,2,0,0,1,1,2,1,1,0,1,0,0,0,0,2,1,0,1,0,0,1,0,1,2,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
21,2,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,2,0,1,0,0,2,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
22,1,2,1,0,1,1,0,2,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,2,1,0,0,1,1,1,0,0,0,0,0,0,2,0,1,1,1,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0
23,0,0,1,0,0,1,1,0,0,1,2,1,0,0,0,0,0,1,0,1,1,2,2,2,1,1,0,1,3,0,0,0,0,0,0,2,0,2,0,1,2,0,1,1,0,0,0,0,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,3,0,1,1,3,0,0,1,0,0,1,1,1,0,0,1,3,0
24,0,0,0,0,0,2,0,0,0,1,0,2,0,1,0,0,0,1,0,2,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,2,0,1,0,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,3,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1
25,0,0,0,1,1,1,1,0,2,0,0,0,1,0,1,2,1,2,1,1,0,0,1,0,3,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,2,0,1,0,0,0,1,1,0,0,3,0,1,0,0,0,0,1,0
26,2,0,1,3,1,1,0,0,1,1,0,1,0,1,2,0,0,0,1,1,1,3,1,1,0,3,2,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,2,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,2,1,1,1,0,0,0,0,2,0,0,0,0,0,1,3,0,0,1,0,1,0,2,2,0,1
27,0,0,0,1,1,3,0,0,0,0,0,2,0,0,1,3,1,1,1,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,3,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,1,2,2,0,0,2,1
28,3,0,1,0,2,3,0,0,1,0,2,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,2,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0
29,1,0,0,1,0,1,0,2,0,1,2,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,3,1,1,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,1,2,1,0,1,2,0,0,1,0,1,0,0,1,1,2,1,0,2,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,3,0,0,1,0,3,1
30,0,0,0,1,0,1,0,0,1,2,2,0,1,0,2,0,0,0,2,0,1,2,1,0,0,1,1,0,1,0,3,0,2,0,0,2,0,2,0,2,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,2,1,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,2,3,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,2,3,1,0
31,0,0,0,0,0,0,0,1,2,1,0,3,2,1,3,0,3,2,0,0,1,1,0,0,1,0,0,2,1,0,0,0,1,0,0,0,2,0,3,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,2,2,1,0,1,0,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,1,1,2,1,1,2,1,1,0
32,2,1,0,0,0,0,1,0,1,2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,1,0,1,0,0,2,2,1,0,1,0,2,0,0,0,0,1,2,1,2,0,1,2,2,0,0,0,2,0,2,0,0,0,0,2,1,0,1,1,3,0,1,0,0,0,0,1,2,1,0,2,0,1,0,0,0,1,2,0,0,0,0
33,1,0,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2,1,0,0,0,1,2,1,0,2,0,0,0,2,2,1,3,0,1,0,1,0,2,2,1,2,0,0,0,2,0,1,0,2,0,0,0
34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,2,0,0,1,1,1,1,1,0,1,2,0,2,0,1,1,1,1,0,0,0,1,0,2,0,0,0,2,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
35,0,0,0,0,1,1,2,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,3,1,1,0,0,0,1,0,0,0,1,1,0,2,0,1,0,0,2,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
36,1,0,0,1,0,0,0,0,1,0,0,2,1,0,1,1,1,3,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,2,1,0,3,0
37,1,1,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,2,2,2,1,0,1,3,3,0,1,0,0,3,0,0,2,1,1,3,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
38,1,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,2,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,3,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,2,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,2,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,2,1,2,0,0,0,0,2,1,0,0,0,0
39,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,2,1,1,0,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,2,1,1,2,1,0,2,1,1,0,1,0,1,1,2,1,1,1,0,1,0,1,1,2,1,0,1,0,0,0,0,2,1,0,0,0
40,1,2,3,0,0,0,0,3,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,3,1,1,0,1,0,1,2
41,1,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,2,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
42,2,0,0,0,1,0,0,0,1,2,1,0,0,0,1,1,1,1,0,1,1,2,2,0,0,1,0,0,0,2,1,1,0,0,0,0,0,1,0,0,3,2,0,2,1,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,1,3,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,2
43,0,0,2,3,1,1,1,1,0,0,2,1,2,0,1,2,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,3,1,0,1,0,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,2
44,0,0,1,1,0,0,0,1,3,0,1,2,0,2,1,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,3,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0
45,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,3,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,2,0,1,2,1,1,1,1,0,0,1,0,0,0,0,2,0,0,0,1,3,0,1,1,1,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,1,2,0,0,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
46,0,0,0,0,0,1,0,1,0,3,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,1,1,1,2,0,0,3,0,2,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1
47,0,1,2,0,0,0,0,0,2,0,1,0,0,0,0,1,1,2,1,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,2,0,2,1,1,1,0,1,1,0,1,0,0,0,1,0,2,0,1,1,0,0,2,3,0,0,1,1,0,1,0,0,0,0,2,0,2,0,3,1,1,1,0,1,1,0,0,0,1,0,1,1,0,2
48,0,0,1,0,1,1,1,0,1,0,1,0,2,0,0,0,1,1,0,1,1,1,1,2,0,0,0,0,0,1,0,0,0,1,0,2,1,1,1,0,3,3,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,2,0,0,1,2,1,0,1,1,0,1,2,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,2,2,1,1,0,0,1,0,2,1,2,0,0,1,1
49,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,3,0,0,0,1,1,0,0,2,0,1,0,0,0,0,2,1,2,0,1,0,0,0,2,0,1,2,0
50,0,0,0,2,0,0,0,0,3,0,1,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,2,0,1,0,0,2,0,0,3,1,1,2,0,0,1,0,2,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1
51,0,1,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,2,0,1,1,0,2,0,1,0,1,0,2,0,0,0,1,0,1,1,1,1,1,2,0,0,0,1,0,0,0,1,1,3,0,0,1,2,0,0,2,0,1,0,1,1,0,1,1,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,2,1,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2
52,0,0,0,3,1,0,0,1,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,2,1,1,2,1,1,1,2,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,2,2,0,0,1,1,2,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,2,3
53,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,2,1,1,0,1,0,0,2,0,2,0,1,0,0,0,0,0,0,1,2,0,1,1,1,0,0,0,3,0,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,2,2,1,1,1,2
54,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,2,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,2,0,0,1,1,1,1,0,0
55,0,0,0,0,0,0,0,2,2,0,0,1,1,1,2,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,1,0,1,0,2,2,0,0,1,0,0,1,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1,0,3,2,0,0,0,0,1,0,0,0,1,0,2,2,2,0,0,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,2,0,0,1,0
56,0,0,1,0,0,2,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,2,1,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,3,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1
57,0,0,0,0,1,0,1,2,0,1,2,0,0,0,2,0,0,1,3,1,1,0,1,0,2,0,0,2,1,1,1,0,1,1,1,1,0,0,2,1,0,1,1,0,0,1,2,0,3,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,1,0,1,1,0,1,1,0,2,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0
58,0,0,2,1,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,2,1,0,0,0,1,1,1,0,2,1,0,2,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,3,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
